Event Category,Page Title,Total Events,Unique Events,Event Value,Avg. Value
Download,"O-34-144-А Янишки (Joniškis, Lithuania) - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Parcels: Washtenaw County, Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,Pennsylvania Breeding Bird Atlas - Second: Pennsylvania - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"Pennsylvania Hospitals: City of Philadelphia, Pennsylvania - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,PLSS Sections [Iowa] - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"Property Parcels: Prince George's County, Maryland - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Purdue Campus: West Lafayette, Indiana, 1939 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Purdue Campus: West Lafayette, Indiana, 2007 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,Saratoga Table: Antarctica - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,Sport Venues - Extreme Sports: State of Maryland - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,States: United States - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"Street Trees: City of Madison, Wisconsin, 2019 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"TEST County Roads SHP: County of Eau Claire, Wisconsin - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,The I.U.T. System and connecting lines - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"Traffic Analysis Zones By Population: Washington, D.C. - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,Unemployment Statistics By County: United States - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"Wetland: National Wetlands Inventory: Cuyahoga County, Ohio - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"WROC Aerial Mosaic (WTM) Adams County, Wisconsin 2020 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Zoning: Indianapolis, Indiana - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"О-34-126-D/127-C Бернати (Bernāti, Latvia) - Big Ten Academic Alliance Geoportal",1,1,0,0.00
